sample_id,relative_path,topology_id,scenario_attempt,split,solver_backend,solver_runtime_s,objective,dc_opf_runtime_s,dc_opf_objective,dc_opf_converged,renewable_source
000000000,samples/000000000.npz,base,1,train,powermodels-ipopt,0.05585630000132369,521.7792201494339,0.023077400001056958,512.945921858267,True,synthetic-diurnal
000000001,samples/000000001.npz,base,2,train,powermodels-ipopt,0.09265890000096988,619.9196653077513,0.022404999999707798,604.4254315601703,True,synthetic-diurnal
000000002,samples/000000002.npz,base,11,train,powermodels-ipopt,0.04829769999923883,413.28475326797025,0.0283899999994901,405.75139998958787,True,synthetic-diurnal
000000003,samples/000000003.npz,base,14,train,powermodels-ipopt,0.06917619999876479,466.50019573864364,0.02858120000018971,457.85113128976974,True,synthetic-diurnal
000000004,samples/000000004.npz,base,15,train,powermodels-ipopt,0.0430186000012327,548.3850396586981,0.023676500000874512,537.8414374699415,True,synthetic-diurnal
000000005,samples/000000005.npz,base,16,train,powermodels-ipopt,0.06501109999953769,597.1826403716541,0.021825699997862102,584.7945590171898,True,synthetic-diurnal
000000006,samples/000000006.npz,base,17,train,powermodels-ipopt,0.04778530000112369,556.3457224202238,0.022854999999253778,546.3327415623269,True,synthetic-diurnal
000000007,samples/000000007.npz,base,23,train,powermodels-ipopt,0.04669419999845559,480.8074765940126,0.02139849999730359,472.9813376452146,True,synthetic-diurnal
000000008,samples/000000008.npz,base,24,train,powermodels-ipopt,0.04484729999967385,521.699864385318,0.02375899999969988,512.8330277648304,True,synthetic-diurnal
000000009,samples/000000009.npz,base,26,train,powermodels-ipopt,0.07652649999727146,590.2701995912208,0.023508899997978006,547.4995010171306,True,synthetic-diurnal
000000010,samples/000000010.npz,base,27,train,powermodels-ipopt,0.04525089999879128,588.8483224397842,0.02357289999781642,578.4761843307715,True,synthetic-diurnal
000000011,samples/000000011.npz,base,28,train,powermodels-ipopt,0.043029499996919185,527.4972224180917,0.023722400001133792,518.9818274214883,True,synthetic-diurnal
000000012,samples/000000012.npz,line_0_out,1,train,powermodels-ipopt,0.05101149999973131,433.1391945608278,0.04275939999934053,425.88124964199517,True,synthetic-diurnal
000000013,samples/000000013.npz,line_0_out,2,train,powermodels-ipopt,0.06163899999955902,496.2428918333476,0.028103500000725035,487.14756124944256,True,synthetic-diurnal
000000014,samples/000000014.npz,line_0_out,4,train,powermodels-ipopt,0.05366960000174004,527.4052190147672,0.023544899999251356,517.6730798498473,True,synthetic-diurnal
000000015,samples/000000015.npz,line_0_out,5,train,powermodels-ipopt,0.05731770000056713,484.0209259380711,0.024534899999707704,475.0900291851673,True,synthetic-diurnal
000000016,samples/000000016.npz,line_0_out,6,train,powermodels-ipopt,0.04516510000030394,550.6855617079624,0.02266800000143121,539.8283522238096,True,synthetic-diurnal
000000017,samples/000000017.npz,line_0_out,7,train,powermodels-ipopt,0.047461400001338916,460.51727826373144,0.02080790000036359,451.83400603250607,True,synthetic-diurnal
000000018,samples/000000018.npz,line_0_out,9,train,powermodels-ipopt,0.06118200000128127,526.7414852711219,0.03560440000001108,513.4286085033244,True,synthetic-diurnal
000000019,samples/000000019.npz,line_0_out,12,train,powermodels-ipopt,0.05754270000034012,476.39605979139503,0.024563899998611305,464.98440064242374,True,synthetic-diurnal
000000020,samples/000000020.npz,line_0_out,14,train,powermodels-ipopt,0.07535750000170083,527.436441419228,0.026739000000816304,495.1755997389934,True,synthetic-diurnal
000000021,samples/000000021.npz,line_0_out,16,train,powermodels-ipopt,0.04924319999918225,445.60674934755014,0.026794199999130797,437.2903520353452,True,synthetic-diurnal
000000022,samples/000000022.npz,line_0_out,17,train,powermodels-ipopt,0.05027759999939008,505.4451824181323,0.02292479999960051,495.35151397026334,True,synthetic-diurnal
000000023,samples/000000023.npz,line_0_out,18,train,powermodels-ipopt,0.04515969999920344,526.3465592111688,0.023746400001982693,514.2252155585044,True,synthetic-diurnal
000000024,samples/000000024.npz,line_1_out,0,train,powermodels-ipopt,0.045954000001074746,510.98931617637976,0.021790100003272528,500.08287160115367,True,synthetic-diurnal
000000025,samples/000000025.npz,line_1_out,2,train,powermodels-ipopt,0.07845319999978528,496.5166464225481,0.0260457000003953,486.41189575226394,True,synthetic-diurnal
000000026,samples/000000026.npz,line_1_out,6,train,powermodels-ipopt,0.05709700000079465,589.4972321751894,0.02668919999996433,572.7723856614994,True,synthetic-diurnal
000000027,samples/000000027.npz,line_1_out,7,train,powermodels-ipopt,0.04277960000035819,560.5662668686116,0.02265600000100676,548.0516908164279,True,synthetic-diurnal
000000028,samples/000000028.npz,line_1_out,8,train,powermodels-ipopt,0.06789600000047358,485.44997520313444,0.03746859999955632,474.95270248328757,True,synthetic-diurnal
000000029,samples/000000029.npz,line_1_out,10,train,powermodels-ipopt,0.04712959999960731,410.42503918146093,0.022738700001355028,401.0399177332634,True,synthetic-diurnal
000000030,samples/000000030.npz,line_1_out,11,train,powermodels-ipopt,0.05209209999884479,514.6480006626348,0.024626299997180467,501.2995153073186,True,synthetic-diurnal
000000031,samples/000000031.npz,line_1_out,12,train,powermodels-ipopt,0.05791210000097635,464.69786777812413,0.023220600000058766,453.41460633702275,True,synthetic-diurnal
000000032,samples/000000032.npz,line_1_out,13,train,powermodels-ipopt,0.056362600000284147,487.8353631126716,0.028242000000318512,475.57675649058365,True,synthetic-diurnal
000000033,samples/000000033.npz,line_1_out,14,train,powermodels-ipopt,0.06634720000147354,454.45729644505576,0.023335299996688263,443.86912272456027,True,synthetic-diurnal
000000034,samples/000000034.npz,line_1_out,15,train,powermodels-ipopt,0.0770810000030906,441.9145424575328,0.029250999999931082,432.21208430212135,True,synthetic-diurnal
000000035,samples/000000035.npz,line_1_out,17,train,powermodels-ipopt,0.06366290000005392,536.2071316583704,0.023322200002439786,518.7001901498529,True,synthetic-diurnal
000000036,samples/000000036.npz,line_2_out,0,val,powermodels-ipopt,0.05073140000240528,558.5599144321658,0.02234370000223862,544.6718971869176,True,synthetic-diurnal
000000037,samples/000000037.npz,line_2_out,1,val,powermodels-ipopt,0.053861100001086015,556.255958395768,0.03217729999960284,542.9751678114851,True,synthetic-diurnal
000000038,samples/000000038.npz,line_2_out,4,val,powermodels-ipopt,0.04997260000163806,576.1777937078323,0.02641129999756231,565.2428872249527,True,synthetic-diurnal
000000039,samples/000000039.npz,line_2_out,5,val,powermodels-ipopt,0.053636199998436496,626.202449795554,0.022604000001592794,612.4852414611098,True,synthetic-diurnal
000000040,samples/000000040.npz,line_2_out,7,val,powermodels-ipopt,0.05615100000068196,519.2023740893432,0.02650010000070324,509.1246666259253,True,synthetic-diurnal
000000041,samples/000000041.npz,line_2_out,10,val,powermodels-ipopt,0.06995950000055018,496.0408171573791,0.03903980000177398,482.0307878249843,True,synthetic-diurnal
000000042,samples/000000042.npz,line_2_out,11,val,powermodels-ipopt,0.08465600000272389,558.2175587332044,0.05704499999774271,520.7886316900076,True,synthetic-diurnal
