sample_id,relative_path,topology_id,scenario_attempt,split,solver_backend,solver_runtime_s,objective,dc_opf_runtime_s,dc_opf_objective,dc_opf_converged,renewable_source
000000000,samples/000000000.npz,base,0,train,powermodels-ipopt,1.325442400000611,664695.682429643,0.21254350000162958,650965.2424652379,True,synthetic-diurnal
000000001,samples/000000001.npz,base,1,train,powermodels-ipopt,1.226281300001574,674425.6024272557,0.16576339999664924,662353.4970767535,True,synthetic-diurnal
000000002,samples/000000002.npz,base,2,train,powermodels-ipopt,1.645256599997083,707972.0413197613,0.19928300000174204,693886.153632079,True,synthetic-diurnal
000000003,samples/000000003.npz,base,3,train,powermodels-ipopt,1.1419987000008405,682871.7934015845,0.1688904000002367,670378.8271906382,True,synthetic-diurnal
000000004,samples/000000004.npz,base,4,train,powermodels-ipopt,1.461128099999769,681441.6746867218,0.1773137999989558,669377.3888849005,True,synthetic-diurnal
000000005,samples/000000005.npz,base,5,train,powermodels-ipopt,1.5628648999991128,700573.3953528915,0.18484900000112248,687679.1199898988,True,synthetic-diurnal
000000006,samples/000000006.npz,base,6,train,powermodels-ipopt,1.520770099999936,686735.6385008732,0.20146530000056373,673733.6648476031,True,synthetic-diurnal
000000007,samples/000000007.npz,base,7,train,powermodels-ipopt,1.40141830000357,713426.5570422574,0.188628100000642,698552.4694880962,True,synthetic-diurnal
000000008,samples/000000008.npz,base,8,train,powermodels-ipopt,1.5780999999988126,692107.4582904974,0.1733111000030476,677742.7545034661,True,synthetic-diurnal
000000009,samples/000000009.npz,base,9,train,powermodels-ipopt,1.2546224999969127,702921.3363815113,0.18928589999995893,688451.6864899279,True,synthetic-diurnal
000000010,samples/000000010.npz,base,10,train,powermodels-ipopt,1.585523000001558,580307.989552617,0.17132019999917247,568298.1602000367,True,synthetic-diurnal
000000011,samples/000000011.npz,base,11,train,powermodels-ipopt,1.3624095999985002,653429.0273738848,0.19529039999906672,638321.0205843864,True,synthetic-diurnal
000000012,samples/000000012.npz,line_1_out,0,train,powermodels-ipopt,1.4395631999977923,661657.3914475164,0.23090520000187098,648949.9281911801,True,synthetic-diurnal
000000013,samples/000000013.npz,line_1_out,1,train,powermodels-ipopt,1.6233491999992111,697995.2093815838,0.18618659999992815,685174.9671050564,True,synthetic-diurnal
000000014,samples/000000014.npz,line_1_out,2,train,powermodels-ipopt,1.3105290999992576,792550.0616521417,0.17603279999821098,776429.0273296009,True,synthetic-diurnal
000000015,samples/000000015.npz,line_1_out,3,train,powermodels-ipopt,1.3278414999986126,730093.2076815575,0.18752540000059525,716743.0289662931,True,synthetic-diurnal
000000016,samples/000000016.npz,line_1_out,4,train,powermodels-ipopt,1.5528503999994427,741329.8653639738,0.15014370000062627,726867.9306257708,True,synthetic-diurnal
000000017,samples/000000017.npz,line_1_out,5,train,powermodels-ipopt,1.3802226999978302,755668.187829156,0.1520961999995052,740064.5099506761,True,synthetic-diurnal
000000018,samples/000000018.npz,line_1_out,6,train,powermodels-ipopt,1.5448527999978978,731123.5218482066,0.11275519999981043,717051.3266682134,True,synthetic-diurnal
000000019,samples/000000019.npz,line_1_out,7,train,powermodels-ipopt,1.3758436999996775,706753.725882002,0.1855020999973931,692571.6876209592,True,synthetic-diurnal
000000020,samples/000000020.npz,line_1_out,8,train,powermodels-ipopt,1.3142734000030032,711067.0499215714,0.17686970000067959,698210.6101115706,True,synthetic-diurnal
000000021,samples/000000021.npz,line_1_out,9,train,powermodels-ipopt,1.6343606000009459,617849.4149589385,0.16526429999794345,605173.8217385666,True,synthetic-diurnal
000000022,samples/000000022.npz,line_1_out,10,train,powermodels-ipopt,1.2271625000030326,613094.5902691172,0.18527180000091903,600175.8487606421,True,synthetic-diurnal
000000023,samples/000000023.npz,line_1_out,11,train,powermodels-ipopt,1.2562213000019256,526288.0516139773,0.16701219999958994,515820.1441763884,True,synthetic-diurnal
000000024,samples/000000024.npz,line_2_out,0,train,powermodels-ipopt,1.7327220000006491,740996.9021196141,0.16055799999958253,727496.7001214118,True,synthetic-diurnal
000000025,samples/000000025.npz,line_2_out,1,train,powermodels-ipopt,1.2007914999994682,744798.1204597981,0.15266650000194204,730660.4215651511,True,synthetic-diurnal
000000026,samples/000000026.npz,line_2_out,2,train,powermodels-ipopt,1.2474337000021478,769257.6007540601,0.15809799999988172,753622.7079297868,True,synthetic-diurnal
000000027,samples/000000027.npz,line_2_out,3,train,powermodels-ipopt,1.8195042000006652,726529.641275629,0.1577523999985715,711176.4592749863,True,synthetic-diurnal
000000028,samples/000000028.npz,line_2_out,4,train,powermodels-ipopt,1.1625327000001562,738647.4938824212,0.10140669999964302,724848.0273801091,True,synthetic-diurnal
000000029,samples/000000029.npz,line_2_out,5,train,powermodels-ipopt,1.4278166000003694,705390.5272255291,0.17866030000004685,691941.0310502312,True,synthetic-diurnal
000000030,samples/000000030.npz,line_2_out,6,train,powermodels-ipopt,1.4695423999983177,651841.5769520155,0.18955490000007558,640055.6672771305,True,synthetic-diurnal
000000031,samples/000000031.npz,line_2_out,7,train,powermodels-ipopt,1.3194087000010768,700908.296785389,0.18072190000020782,687213.4587495844,True,synthetic-diurnal
000000032,samples/000000032.npz,line_2_out,8,train,powermodels-ipopt,1.634192699999403,723178.0909487891,0.18196610000086366,708555.332550752,True,synthetic-diurnal
000000033,samples/000000033.npz,line_2_out,9,train,powermodels-ipopt,1.3611087999997835,680180.4330058688,0.179805399999168,666313.9165647846,True,synthetic-diurnal
000000034,samples/000000034.npz,line_2_out,10,train,powermodels-ipopt,1.379263599999831,610615.0048889375,0.1852709999984654,597789.9871013779,True,synthetic-diurnal
000000035,samples/000000035.npz,line_2_out,11,train,powermodels-ipopt,1.7120796000017435,634707.8804138995,0.16843299999891315,621849.7031027961,True,synthetic-diurnal
000000036,samples/000000036.npz,line_3_out,0,val,powermodels-ipopt,1.5337985000005574,755404.6981124426,0.22257380000155536,741439.8038045905,True,synthetic-diurnal
000000037,samples/000000037.npz,line_3_out,1,val,powermodels-ipopt,1.564560300001176,700607.0234904306,0.17125970000051893,686583.994790697,True,synthetic-diurnal
000000038,samples/000000038.npz,line_3_out,2,val,powermodels-ipopt,1.7715237000011257,720206.2988998521,0.23816900000019814,705813.0122155889,True,synthetic-diurnal
000000039,samples/000000039.npz,line_3_out,3,val,powermodels-ipopt,0.5836849999977858,731512.0655782041,0.0886196999999811,717586.7027082315,True,synthetic-diurnal
000000040,samples/000000040.npz,line_3_out,4,val,powermodels-ipopt,0.8472222999989754,647239.6377801333,0.12946179999926244,636068.1462233905,True,synthetic-diurnal
000000041,samples/000000041.npz,line_3_out,5,val,powermodels-ipopt,0.6742763999973249,763251.4580400423,0.10559470000225701,748863.3603408767,True,synthetic-diurnal
000000042,samples/000000042.npz,line_3_out,6,val,powermodels-ipopt,0.6860276999977941,728180.3722685995,0.09388699999908567,713464.3777403103,True,synthetic-diurnal
000000043,samples/000000043.npz,line_3_out,7,val,powermodels-ipopt,1.728591699997196,747332.1742830342,0.09155309999914607,732147.4723733446,True,synthetic-diurnal
000000044,samples/000000044.npz,line_3_out,8,val,powermodels-ipopt,1.479155399996671,655023.1758606241,0.20231259999854956,641772.311428749,True,synthetic-diurnal
000000045,samples/000000045.npz,line_3_out,9,val,powermodels-ipopt,1.600362799999857,652351.8171826709,0.29286250000222935,638924.5996135764,True,synthetic-diurnal
000000046,samples/000000046.npz,line_3_out,10,val,powermodels-ipopt,1.7597870999998122,639535.3970692217,0.24958569999944302,624239.3632802973,True,synthetic-diurnal
000000047,samples/000000047.npz,line_3_out,11,val,powermodels-ipopt,1.2878000999990036,651784.674294153,0.16970059999948717,636103.5075613917,True,synthetic-diurnal
000000048,samples/000000048.npz,line_4_out,0,train,powermodels-ipopt,1.6695203999988735,748349.3012264785,0.20968079999875044,734173.3529737567,True,synthetic-diurnal
000000049,samples/000000049.npz,line_4_out,1,train,powermodels-ipopt,1.3561660000013944,714067.0290904068,0.18799859999853652,701316.2465496507,True,synthetic-diurnal
000000050,samples/000000050.npz,line_4_out,2,train,powermodels-ipopt,1.6807879000007233,696885.5856273684,0.16997189999892726,682086.7043297963,True,synthetic-diurnal
000000051,samples/000000051.npz,line_4_out,3,train,powermodels-ipopt,1.710796700001083,742431.2760503023,0.16738249999980326,728046.2773784806,True,synthetic-diurnal
000000052,samples/000000052.npz,line_4_out,4,train,powermodels-ipopt,1.35572669999965,676514.9913716285,0.3553247999989253,664068.669731495,True,synthetic-diurnal
000000053,samples/000000053.npz,line_4_out,5,train,powermodels-ipopt,1.3331379000010202,676063.2330028175,0.17266229999950156,664298.2016193339,True,synthetic-diurnal
000000054,samples/000000054.npz,line_4_out,6,train,powermodels-ipopt,1.7708106999998563,747017.2910431718,0.16342900000017835,733061.6751809851,True,synthetic-diurnal
000000055,samples/000000055.npz,line_4_out,7,train,powermodels-ipopt,1.4560505999979796,661463.7872060607,0.20380450000084238,649164.1905181829,True,synthetic-diurnal
000000056,samples/000000056.npz,line_4_out,8,train,powermodels-ipopt,1.5201678999983415,701971.1891817951,0.21305840000059106,686936.041881013,True,synthetic-diurnal
000000057,samples/000000057.npz,line_4_out,9,train,powermodels-ipopt,1.6054360000016459,674607.7659054756,0.18335470000238274,661092.704787419,True,synthetic-diurnal
000000058,samples/000000058.npz,line_4_out,10,train,powermodels-ipopt,1.9783509999979287,596058.8950667048,0.21403089999876102,582135.5411451625,True,synthetic-diurnal
000000059,samples/000000059.npz,line_4_out,11,train,powermodels-ipopt,1.5317537000009906,676587.7335487106,0.1903669000021182,659957.1694624594,True,synthetic-diurnal
000000060,samples/000000060.npz,line_5_out,0,test,powermodels-ipopt,1.6236573000023782,695326.9080007545,0.27571030000035535,681754.7769977746,True,synthetic-diurnal
000000061,samples/000000061.npz,line_5_out,1,test,powermodels-ipopt,1.5325030999993032,777705.0196789592,0.1448737999999139,760466.5593345222,True,synthetic-diurnal
000000062,samples/000000062.npz,line_5_out,2,test,powermodels-ipopt,1.6441298000027018,690887.2555001493,0.16246640000099433,677593.9392832019,True,synthetic-diurnal
000000063,samples/000000063.npz,line_5_out,3,test,powermodels-ipopt,1.434605599999486,735333.1576103447,0.16493930000069668,717027.4589613001,True,synthetic-diurnal
000000064,samples/000000064.npz,line_5_out,4,test,powermodels-ipopt,1.3554872999993677,714655.0565846262,0.21151559999998426,700538.3632997947,True,synthetic-diurnal
000000065,samples/000000065.npz,line_5_out,5,test,powermodels-ipopt,1.7500563000030525,690097.2917005339,0.16513430000122753,675423.5959742491,True,synthetic-diurnal
000000066,samples/000000066.npz,line_5_out,6,test,powermodels-ipopt,1.0867904000006092,696607.2153556673,0.16588120000233175,684256.4388168575,True,synthetic-diurnal
000000067,samples/000000067.npz,line_5_out,7,test,powermodels-ipopt,1.4152858999987075,708623.8773684241,0.1909890999995696,693745.3695915712,True,synthetic-diurnal
