sample_id,relative_path,topology_id,scenario_attempt,split,solver_backend,solver_runtime_s,objective,dc_opf_runtime_s,dc_opf_objective,dc_opf_converged,renewable_source
000000000,samples/000000000.npz,base,0,train,powermodels-ipopt,0.4343079000027501,116912.35330087789,0.13589869999850634,113066.33867570141,True,synthetic-diurnal
000000001,samples/000000001.npz,base,1,train,powermodels-ipopt,0.4604136000016297,151532.6299748968,0.11071309999897494,147926.84534203503,True,synthetic-diurnal
000000002,samples/000000002.npz,base,2,train,powermodels-ipopt,0.466700299999502,117940.41355278004,0.12522049999824958,114631.57632727578,True,synthetic-diurnal
000000003,samples/000000003.npz,base,3,train,powermodels-ipopt,0.5145531999987725,128398.83145133201,0.13803589999952237,124591.8423985266,True,synthetic-diurnal
000000004,samples/000000004.npz,base,4,train,powermodels-ipopt,0.5218580000000657,145523.5134160477,0.13115800000014133,141657.64881630623,True,synthetic-diurnal
000000005,samples/000000005.npz,base,5,train,powermodels-ipopt,0.5594100000016624,117141.5477394315,0.15105840000251192,113458.05144076698,True,synthetic-diurnal
000000006,samples/000000006.npz,base,6,train,powermodels-ipopt,0.4871560999999929,133579.4347692231,0.15328260000023874,129497.369498251,True,synthetic-diurnal
000000007,samples/000000007.npz,base,7,train,powermodels-ipopt,0.539473500000895,119285.09210762219,0.15745590000005905,115253.43813689065,True,synthetic-diurnal
000000008,samples/000000008.npz,base,8,train,powermodels-ipopt,0.4282792000012705,110792.89220209088,0.13429850000102306,107418.10061613456,True,synthetic-diurnal
000000009,samples/000000009.npz,base,9,train,powermodels-ipopt,0.45062729999699513,111773.08825992783,0.14272619999974268,108415.21693109868,True,synthetic-diurnal
000000010,samples/000000010.npz,base,10,train,powermodels-ipopt,0.4396525999982259,104016.25725301138,0.15449189999708324,100143.72651219959,True,synthetic-diurnal
000000011,samples/000000011.npz,base,11,train,powermodels-ipopt,0.5732618000001821,124029.05257804273,0.14400729999761097,120059.63931938342,True,synthetic-diurnal
000000012,samples/000000012.npz,line_0_out,0,train,powermodels-ipopt,0.5374307000020053,151349.43419281926,0.1756294999977399,147503.39241227898,True,synthetic-diurnal
000000013,samples/000000013.npz,line_0_out,1,train,powermodels-ipopt,1.2743922000008752,138696.9887387027,0.13972260000082315,135010.17399891448,True,synthetic-diurnal
000000014,samples/000000014.npz,line_0_out,2,train,powermodels-ipopt,0.5028430999991542,146681.13859404076,0.14975160000176402,142506.12699502683,True,synthetic-diurnal
000000015,samples/000000015.npz,line_0_out,3,train,powermodels-ipopt,0.6122610999991593,131314.02286476694,0.17559059999985038,127488.8501293514,True,synthetic-diurnal
000000016,samples/000000016.npz,line_0_out,4,train,powermodels-ipopt,0.5926260000014736,105786.96468804403,0.16495080000095186,102556.71429233893,True,synthetic-diurnal
000000017,samples/000000017.npz,line_0_out,5,train,powermodels-ipopt,0.5482483000014327,117949.56430173706,0.171472600002744,114359.3778562817,True,synthetic-diurnal
000000018,samples/000000018.npz,line_0_out,6,train,powermodels-ipopt,0.573996499999339,119776.85710295083,0.13463019999835524,116415.4638671049,True,synthetic-diurnal
000000019,samples/000000019.npz,line_0_out,7,train,powermodels-ipopt,0.5623029000016686,141014.49161128336,0.1447104999970179,136709.48509201777,True,synthetic-diurnal
000000020,samples/000000020.npz,line_0_out,8,train,powermodels-ipopt,0.5468131999987236,120547.06930599346,0.19686130000263802,117024.19686285904,True,synthetic-diurnal
000000021,samples/000000021.npz,line_0_out,9,train,powermodels-ipopt,0.42388819999905536,131276.9883867439,0.17082229999869014,127360.71440432317,True,synthetic-diurnal
